time,latitude,longitude
2019-02-25T22:29:17.720Z,12.9916,-88.7166
2019-02-25T19:38:52.330Z,14.5789,-93.6176
2019-02-25T19:36:49.420Z,14.6611,-93.7387
2019-02-24T23:58:54.300Z,12.7449,-88.513
2019-02-24T03:07:35.090Z,12.5784,-89.2273
2019-02-19T14:13:09.900Z,14.4882,-93.1822
2019-02-18T23:38:06.820Z,19.4898,-64.8938
2019-02-18T03:22:23.510Z,18.9198,-104.3449
2019-02-16T09:29:45.960Z,17.5812,-102.8693
2019-02-15T07:22:02.190Z,15.6156,-95.6717
2019-02-11T00:08:48.720Z,13.1988,-87.7188
2019-02-10T17:33:23.060Z,15.4116,-94.8132
2019-02-05T16:15:34.060Z,15.6582,-92.4565
2019-02-04T14:33:48.810Z,18.1358,-68.5523
2019-02-01T16:14:12.329Z,14.6802,-92.4527
2019-01-31T04:40:30.060Z,13.4929,-88.3489
2019-01-31T00:16:48.840Z,23.9435,-109.0615
2019-01-30T11:41:02.470Z,12.3767,-87.7238
2019-01-30T01:46:11.550Z,17.456,-93.9655
2019-01-29T22:52:52.000Z,12.8627,-88.2812
2019-01-29T06:48:54.060Z,13.4789,-91.8141
2019-01-29T00:53:20.080Z,16.6122,-95.0598
2019-01-27T14:47:39.600Z,16.5248,-100.0085
2019-01-27T05:20:10.770Z,19.5799,-109.2126
2019-01-24T16:20:01.930Z,12.9743,-89.0867
2019-01-21T14:42:48.210Z,15.764,-61.6503
2019-01-21T11:57:20.110Z,15.584,-94.7368
2019-01-20T14:05:29.580Z,13.135,-81.0719
2019-01-17T12:56:37.110Z,29.6356,-114.1301
2019-01-16T00:39:33.510Z,19.4966,-68.2711
2019-01-15T23:30:48.660Z,37.2318,-73.0097
2019-01-15T03:41:03.360Z,11.2646,-86.6365
2019-01-15T03:10:53.400Z,12.536,-87.6458
2019-01-10T02:13:15.160Z,15.5777,-95.0517
2019-01-05T18:52:57.150Z,14.4113,-93.1719
2019-01-05T17:08:31.460Z,14.9017,-91.4809
2019-01-05T11:19:27.340Z,12.9217,-88.6519
2019-01-05T09:36:58.640Z,26.1622,-110.6621
2019-01-04T12:33:05.990Z,26.3588,-110.7377
2018-12-31T10:13:30.530Z,17.2942,-93.9147
2018-12-28T02:51:14.470Z,12.401,-88.3702
2018-12-28T02:20:09.560Z,12.4255,-88.3785
2018-12-25T03:46:15.080Z,19.3396,-67.7088
2018-12-22T14:12:17.530Z,18.6142,-69.046
2018-12-22T05:17:23.000Z,11.1149,-86.8573
2018-12-21T01:59:10.070Z,15.017,-94.1927
2018-12-20T17:01:49.130Z,14.1216,-90.2242
2018-12-20T08:52:36.270Z,12.0998,-87.7217
2018-12-17T19:33:46.980Z,11.2005,-86.8443
2018-12-14T07:41:44.970Z,12.9949,-81.1925
2018-12-14T00:52:30.510Z,12.4329,-88.0813
2018-12-07T18:25:50.680Z,19.4196,-68.0036
2018-12-06T09:43:55.680Z,12.5956,-86.9794
2018-12-05T14:11:15.720Z,13.0309,-81.3065
2018-12-03T09:07:29.630Z,12.4372,-88.6838
2018-12-02T16:52:52.050Z,15.9024,-93.7278
2018-11-29T04:49:29.330Z,12.9872,-81.2784
2018-11-27T05:37:59.180Z,19.3732,-108.3512
2018-11-27T04:30:23.230Z,13.0906,-90.3299
2018-11-27T01:17:44.810Z,13.1525,-81.0207
2018-11-26T09:13:13.610Z,13.1173,-81.0402
2018-11-26T03:43:05.400Z,13.2022,-81.0372
2018-11-25T22:09:53.650Z,13.054,-81.2056
2018-11-25T20:56:36.490Z,13.1647,-81.046
2018-11-25T16:19:46.610Z,13.0131,-81.2118
2018-11-25T15:45:59.010Z,13.0623,-81.2039
2018-11-25T03:40:50.810Z,13.1817,-81.0931
2018-11-25T01:19:06.590Z,13.1429,-81.2054
2018-11-22T20:49:42.830Z,11.26,-87.832
2018-11-19T20:18:42.510Z,32.2065,-115.2535
2018-11-16T05:21:57.810Z,42.3753,-126.6854
2018-11-14T09:26:15.860Z,14.7575,-94.2455
2018-11-14T00:10:33.100Z,19.6256,-65.084
2018-11-12T14:12:21.040Z,13.1132,-90.3224
2018-11-10T16:25:43.160Z,17.6213,-61.0678
2018-11-10T05:20:57.530Z,11.3805,-87.1317
2018-11-09T14:33:51.830Z,25.9824,-110.4898
2018-11-07T17:32:53.600Z,11.9728,-86.8015
2018-11-07T10:21:33.540Z,13.0038,-90.5287
2018-11-05T19:39:35.160Z,13.0354,-90.4154
2018-11-05T07:27:20.750Z,12.5075,-88.9073
2018-10-31T17:46:59.550Z,12.0505,-87.364
2018-10-28T22:23:53.420Z,13.0346,-90.3687
2018-10-27T18:50:18.750Z,15.0106,-94.0464
2018-10-26T12:49:48.260Z,23.0794,-70.4684
2018-10-26T09:48:11.930Z,15.9674,-98.9298
2018-10-24T00:21:21.400Z,43.6948,-127.6956
2018-10-23T23:38:58.830Z,13.0821,-89.4387
2018-10-21T16:35:11.680Z,11.3071,-59.8631
2018-10-15T09:05:42.040Z,12.9354,-90.7679
2018-10-12T21:09:49.310Z,14.1973,-91.1973
2018-10-10T08:01:34.230Z,11.0883,-86.6618
2018-10-08T12:05:56.150Z,23.6344,-108.9329
2018-10-07T20:56:01.900Z,19.4678,-108.9457
2018-10-07T20:00:18.890Z,20.0414,-73.0143
2018-10-07T00:26:43.620Z,12.6527,-88.2276
2018-10-07T00:11:51.220Z,20.0343,-73.0128
2018-10-04T19:59:41.540Z,13.0591,-81.0833
2018-10-01T21:43:03.070Z,16.7656,-94.0096
2018-10-01T17:26:47.450Z,15.9025,-96.7805
2018-09-30T17:13:21.030Z,13.0844,-90.3511
2018-09-28T12:32:43.570Z,15.1157,-60.3912
2018-09-27T17:32:11.750Z,14.5696,-92.6378
2018-09-25T16:06:02.650Z,13.1491,-81.1419
2018-09-25T15:37:14.720Z,13.1504,-81.1488
2018-09-25T02:22:17.020Z,16.5079,-99.0131
2018-09-24T00:39:55.210Z,11.2015,-86.8409
2018-09-23T05:45:50.950Z,19.6495,-71.2739
2018-09-23T04:37:46.130Z,13.1048,-81.1478
2018-09-21T16:38:15.010Z,17.5725,-102.7687
2018-09-21T02:07:28.320Z,13.0831,-81.086
2018-09-20T22:30:09.910Z,14.5974,-93.8631
2018-09-20T09:21:18.080Z,14.6858,-93.7899
2018-09-19T00:59:28.710Z,12.4686,-87.0439
2018-09-16T04:30:14.200Z,16.2384,-98.4345
2018-09-12T15:35:16.080Z,13.2268,-87.83
2018-09-12T06:29:53.150Z,12.1932,-86.7841
2018-09-12T02:35:26.690Z,14.8462,-94.0518
2018-09-10T17:15:47.970Z,16.0263,-98.28
2018-09-10T12:39:17.210Z,14.4378,-93.0418
2018-09-03T18:11:34.460Z,15.0661,-91.5483
2018-09-03T14:35:03.710Z,18.0387,-79.6552
2018-09-02T21:35:36.410Z,16.5182,-95.1827
2018-08-22T18:03:07.550Z,16.6048,-98.7299
2018-08-22T13:20:03.450Z,43.6583,-127.5388
2018-08-22T09:31:45.530Z,43.5637,-127.7166
2018-08-16T16:15:28.780Z,16.2073,-98.0998
2018-08-15T22:43:58.410Z,11.3927,-87.9289
2018-08-15T14:19:36.160Z,13.304,-87.727
2018-08-12T14:42:09.110Z,17.1286,-100.8147
2018-08-09T19:21:51.990Z,13.5731,-91.2308
2018-08-09T00:25:58.620Z,12.3039,-89.3698
2018-08-06T13:18:04.800Z,18.4801,-101.2936
2018-08-04T20:18:36.480Z,13.2281,-90.8859
2018-08-04T10:27:08.620Z,13.2356,-90.8136
2018-08-04T05:47:18.370Z,13.0555,-90.7331
2018-08-04T05:46:02.740Z,13.2229,-90.8181
2018-08-01T16:05:56.820Z,14.9288,-93.6554
2018-07-29T14:10:22.630Z,44.0248,-128.7797
2018-07-28T02:33:49.530Z,31.3986,-114.3941
2018-07-27T20:42:02.690Z,12.6931,-88.1963
2018-07-25T05:06:06.740Z,40.3851667,-125.0523333
2018-07-24T17:22:34.740Z,41.7482,-126.9917
2018-07-24T14:44:52.570Z,41.8105,-126.8616
2018-07-24T14:28:15.680Z,41.8055,-126.6563
2018-07-24T12:16:31.960Z,41.7122,-126.7798
2018-07-24T10:51:21.000Z,12.9221,-88.0048
2018-07-23T07:17:11.310Z,19.6658,-109.451
2018-07-22T12:39:41.060Z,17.5362,-94.537
2018-07-21T01:29:40.090Z,16.2317,-99.1406
2018-07-20T17:42:04.440Z,17.8246,-95.4698
2018-07-19T13:31:53.780Z,17.9318,-97.7158
2018-07-19T01:27:19.230Z,13.6272,-91.255
2018-07-17T08:54:41.120Z,18.4075,-103.369
2018-07-12T07:56:23.020Z,13.1317,-89.5236
2018-07-09T07:11:48.750Z,13.4702,-88.3914
2018-07-09T04:15:21.570Z,15.2412,-93.0357
2018-07-05T15:17:36.947Z,35.8945,-115.7758
2018-07-03T03:49:05.380Z,15.3683,-97.9113
2018-07-01T05:03:37.590Z,18.9358,-105.3309
2018-06-30T03:56:49.410Z,19.0222,-105.119
2018-06-29T09:16:39.690Z,15.4688,-94.5764
2018-06-27T14:45:20.930Z,14.127,-91.5616
2018-06-27T00:13:59.330Z,12.5432,-88.9987
2018-06-26T18:02:18.110Z,15.6434,-94.059
2018-06-25T05:19:58.830Z,13.6176,-90.7202
2018-06-24T18:02:41.460Z,13.4088,-92.3559
2018-06-23T21:54:34.240Z,12.4941,-88.8351
2018-06-18T02:32:55.870Z,14.1325,-90.7154
2018-06-10T01:03:24.860Z,15.0628,-94.14
2018-06-08T22:36:54.370Z,11.2865,-85.4955
2018-06-06T23:38:19.930Z,11.1932,-86.7679
2018-06-05T04:54:47.550Z,13.372,-92.044
2018-06-04T15:06:45.380Z,13.4221,-92.2834
2018-06-03T09:13:21.510Z,18.9965,-69.6349
2018-05-21T02:15:18.300Z,17.071,-98.6744
2018-05-20T21:50:18.290Z,11.1108,-62.1993
2018-05-20T10:47:12.410Z,43.2977,-126.722
2018-05-18T06:04:13.700Z,12.7298,-89.722
2018-05-16T14:20:27.470Z,18.2208,-100.4896
2018-05-13T17:10:40.170Z,16.974,-95.1198
2018-05-13T15:59:48.500Z,12.9299,-87.2405
2018-05-11T21:34:26.750Z,13.545,-91.6757
2018-05-09T20:25:21.120Z,12.9033,-87.1809
2018-05-08T23:07:32.830Z,13.3045,-87.9683
2018-05-07T06:57:03.270Z,13.031,-90.2228
2018-05-06T19:02:22.360Z,13.1036,-88.0615
2018-05-06T18:58:16.660Z,13.3319,-87.9657
2018-05-06T17:43:41.120Z,13.3173,-88.0681
2018-05-06T16:47:09.220Z,27.871,-88.6778
2018-05-06T14:52:54.180Z,13.2253,-88.0851
2018-05-06T12:44:28.080Z,13.2731,-87.9546
2018-05-06T12:37:58.950Z,13.2236,-88.0338
2018-05-06T05:19:21.350Z,11.8001,-86.2109
2018-05-06T04:58:22.070Z,13.3024,-87.8448
2018-05-06T03:03:16.620Z,16.844,-94.9198
2018-05-04T15:16:56.210Z,16.2833,-98.9332
2018-05-04T11:09:31.430Z,13.9352,-91.8766
2018-04-28T03:30:03.140Z,14.3888,-60.1416
2018-04-28T01:48:22.050Z,12.0745,-86.8876
2018-04-27T00:22:38.460Z,15.0975,-94.2041
2018-04-25T22:18:24.560Z,14.2824,-89.9947
2018-04-24T02:29:52.640Z,12.4928,-87.7466
2018-04-22T17:25:54.820Z,12.1171,-88.2121
2018-04-19T10:06:21.030Z,17.1823,-95.3149
2018-04-18T11:59:20.150Z,16.4611,-95.1951
2018-04-17T20:26:51.940Z,17.0679,-61.7422
2018-04-15T02:13:26.320Z,15.7738,-95.0409
2018-04-14T18:38:10.060Z,19.1941,-108.1556
2018-04-12T06:42:30.830Z,15.3001,-95.9148
2018-04-12T04:00:28.110Z,15.299,-94.1025
2018-04-11T07:30:38.310Z,15.6823,-95.0117
2018-04-11T01:00:25.750Z,19.1754,-64.6505
2018-04-09T10:22:20.300Z,36.2185,-97.5735
2018-04-09T04:32:22.660Z,17.5155,-83.5044
2018-04-08T14:48:19.970Z,12.1926,-77.3864
2018-04-08T05:34:28.230Z,13.8035,-91.6968
2018-04-08T05:08:20.900Z,13.8832,-91.5365
2018-04-07T18:57:56.810Z,15.3132,-94.1261
2018-04-07T13:26:17.740Z,11.2814,-87.0226
2018-04-07T12:16:03.300Z,36.2896,-97.5166
2018-04-06T21:21:13.680Z,18.702,-64.6711
2018-04-05T19:29:16.500Z,33.8375,-119.7258333
2018-04-05T11:26:59.550Z,16.7577,-61.0358
2018-04-04T22:07:49.500Z,22.0633,-108.7002
2018-04-04T21:23:20.560Z,22.0548,-108.7016
2018-04-03T16:00:50.900Z,13.0609,-88.7998
2018-04-02T23:23:17.670Z,13.1086,-88.6821
2018-04-02T20:29:13.320Z,11.8776,-87.6566
2018-04-01T12:13:04.730Z,14.2535,-92.0767
2018-03-30T15:07:56.270Z,16.0771,-98.6695
2018-03-29T01:21:48.590Z,14.117,-91.2375
2018-03-28T16:05:14.270Z,11.5746,-87.327
2018-03-26T23:21:22.490Z,14.4758,-93.26
2018-03-26T15:21:43.590Z,14.2135,-92.9608
2018-03-23T17:16:25.420Z,14.383,-91.2201
2018-03-23T03:09:39.100Z,40.4278333,-124.5108333
2018-03-21T20:48:52.030Z,16.3823,-98.1025
2018-03-20T17:46:55.590Z,16.3103,-98.4707
2018-03-20T16:43:58.330Z,16.4163,-98.4418
2018-03-19T23:36:41.520Z,31.0935,-114.275
2018-03-18T22:30:33.920Z,15.4142,-92.0301
2018-03-18T09:22:04.900Z,16.7078,-94.8697
2018-03-17T10:16:09.190Z,12.0428,-72.133
2018-03-16T14:00:15.980Z,16.4247,-98.0201
2018-03-12T06:44:11.860Z,11.8533,-86.2039
2018-03-09T17:23:32.480Z,11.7379,-87.0527
2018-03-09T03:29:42.250Z,13.3363,-92.6469
2018-03-06T20:41:23.370Z,15.4251,-94.348
2018-03-06T17:54:30.100Z,19.2934,-65.264
2018-03-05T14:30:21.480Z,16.2231,-98.0589
2018-03-05T11:35:52.600Z,16.8213,-85.8755
2018-03-04T05:01:26.170Z,13.2777,-89.2946
2018-03-01T15:41:54.750Z,16.352,-98.7132
2018-02-25T12:51:38.750Z,15.4356,-94.4579
2018-02-24T01:50:53.720Z,12.742,-88.1532
2018-02-23T05:43:39.070Z,16.0084,-97.8646
2018-02-22T11:19:04.300Z,12.1211,-88.2095
2018-02-21T16:11:33.620Z,15.2108,-94.1809
2018-02-20T06:28:44.460Z,15.5037,-94.8467
2018-02-19T20:54:29.660Z,12.3595,-89.5239
2018-02-19T18:16:03.310Z,19.2411,-108.7625
2018-02-19T13:12:25.030Z,16.3112,-97.9966
2018-02-19T06:56:58.170Z,16.2857,-97.7314
2018-02-17T21:30:43.760Z,16.5065,-97.8801
2018-02-17T03:54:46.400Z,16.4032,-97.4865
2018-02-17T00:36:52.130Z,16.1557,-97.8665
2018-02-17T00:25:16.300Z,18.8249,-73.6083
2018-02-16T23:39:39.280Z,16.3855,-97.9787
2018-02-16T11:43:33.320Z,13.0615,-90.1917
